"Format","MoTeC CSV",,,"Workbook","Samples"
"Venue","Interlagos",,,"Worksheet","Graph"
"Vehicle","SupV8: Calvin Klos #10",,,"Vehicle Desc","SupV8: Calvin Klos #10"
"Driver","Joao Guilherme",,,"Engine ID",""
"Device","ADL"
"Comment","(Exported from rFactor Data Acquisition Plugin v1.3.2.0)",,,"Session",""
"Log Date","21/03/2020",,,"Origin Time","0.000","s"
"Log Time","01:18",,,"Start Time","0.000","s"
"Sample Rate","102.400","Hz",,"End Time","318.896","s"
"Duration","318.896","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","11163","m"

"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"s","m","rpm","km/h","%","G","G"


"3.584","9","1831","24.3","19.05","0.407","-0.199"
"3.594","9","1831","24.4","19.05","0.410","-0.199"
"3.604","9","1831","24.5","19.05","0.412","-0.199"
"3.613","9","1831","24.6","19.05","0.413","-0.199"
"3.623","9","1831","24.6","19.05","0.414","-0.199"
"3.633","9","1831","24.7","19.05","0.414","-0.200"
"3.643","10","1831","24.8","19.05","0.414","-0.200"
"3.652","10","1830","24.9","19.05","0.414","-0.200"
"3.662","10","1830","25.0","19.05","0.415","-0.200"
"3.672","10","1830","25.1","19.05","0.412","-0.200"
"3.682","10","1830","25.2","19.05","0.410","-0.201"
"3.691","10","1830","25.3","19.05","0.408","-0.201"
"3.701","10","1830","25.3","19.05","0.408","-0.202"
"3.711","10","1830","25.4","19.05","0.407","-0.202"
"3.721","10","1830","25.5","19.05","0.407","-0.202"
"3.730","10","1830","25.6","19.05","0.408","-0.202"
"3.740","10","1830","25.7","19.05","0.408","-0.202"
"3.750","10","1830","25.8","19.05","0.409","-0.201"
"3.760","10","1832","25.9","19.05","0.410","-0.194"
"3.770","10","1836","25.9","19.05","0.408","-0.185"
"3.779","11","1841","26.0","19.05","0.405","-0.182"
"3.789","11","1847","26.1","19.05","0.398","-0.182"
"3.799","11","1852","26.2","19.05","0.393","-0.184"
"3.809","11","1858","26.3","19.05","0.390","-0.185"
