"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"170249.0263157895","2019-01-12T18:41:23.972Z","-7.9425074","-34.91553625","62.46216731661282","6.26","6.390000000000001","3","138"
"170354.39473684214","2019-01-12T18:41:24.082Z","-7.9425066","-34.915529449999994","62.42666731661282","6.6925","6.390000000000001","3","138"
"170459.76315789478","2019-01-12T18:41:24.192Z","-7.942505150000001","-34.915522949999996","62.52016731661281","6.3095","6.515000000000001","3","138"
"170565.13157894742","2019-01-12T18:41:24.302Z","-7.94250205","-34.9155163","62.45616731661282","6.794499999999999","6.6","3","138"
"170670.50000000006","2019-01-12T18:41:24.412Z","-7.94249895","-34.915510100000006","62.407667316612816","6.6025","6.735","3","138"
"170700","2019-01-12T18:41:24.443Z","-7.942498204095904","-34.9155086141858","62.398586897032395","6.4575554445553776","6.607602397602433","3","138"
"170828.552631579","2019-01-12T18:41:24.577Z","-7.9424943500000005","-34.9155012","62.38916731661281","6.5695","6.57","3","138"
"170933.92105263163","2019-01-12T18:41:24.687Z","-7.9424909","-34.91549525","62.29516731661282","6.836","6.635","3","138"
"171039.28947368427","2019-01-12T18:41:24.797Z","-7.94248665","-34.91548885","62.28966731661282","7.3195","7.095000000000001","3","138"
"171144.65789473688","2019-01-12T18:41:24.907Z","-7.942482","-34.9154832","62.23966731661282","7.166","7.28","3","138"
"171254.4166666667","2019-01-12T18:41:25.017Z","-7.94247685","-34.91547725","62.16566731661282","7.6395","7.359999999999999","3","138"
"171365.63888888893","2019-01-12T18:41:25.127Z","-7.94247165","-34.915471249999996","62.11016731661282","7.837","7.79","3","138"
"171400","2019-01-12T18:41:25.161Z","-7.942470146353647","-34.91546975814187","62.07627720672273","7.725601398601345","7.9870329670330715","3","138"
"171532.4722222223","2019-01-12T18:41:25.292Z","-7.9424629499999995","-34.915463","62.00066731661282","7.8225","7.8100000000000005","3","138"
"171643.69444444455","2019-01-12T18:41:25.402Z","-7.942457","-34.9154583","61.918167316612816","7.609","7.75","3","138"
"171754.9166666668","2019-01-12T18:41:25.512Z","-7.94245075","-34.9154539","61.856667316612814","7.587","7.529999999999999","3","138"
"171866.13888888905","2019-01-12T18:41:25.622Z","-7.9424440999999995","-34.91544955","61.781167316612816","7.7605","7.71","3","138"
"171900","2019-01-12T18:41:25.655Z","-7.9424420515484515","-34.91544828221779","61.750880603326166","7.802833166833396","7.834555444555597","3","138"
"172032.97222222242","2019-01-12T18:41:25.787Z","-7.9424344","-34.915443350000004","61.694667316612815","7.717499999999999","7.705","3","138"
"172144.19444444455","2019-01-12T18:41:25.897Z","-7.9424281","-34.915438800000004","61.657167316612814","7.756","7.83","3","138"
"172255.4166666667","2019-01-12T18:41:26.012Z","-7.9424221","-34.9154345","61.62516731661282","7.471","7.575","3","138"
"172366.63888888893","2019-01-12T18:41:26.128Z","-7.94241595","-34.915429849999995","61.595167316612816","7.6345","7.57","3","138"
"172400","2019-01-12T18:41:26.162Z","-7.942414280319681","-34.91542858021979","61.602170313615844","7.339088911088806","7.773016983017145","3","138"
"172533.4722222223","2019-01-12T18:41:26.302Z","-7.942406650000001","-34.9154233","61.541167316612814","7.564","7.505","3","138"
"172644.69444444455","2019-01-12T18:41:26.418Z","-7.9424005","-34.91541865","61.50216731661282","7.579000000000001","7.6","3","138"
"172755.9166666668","2019-01-12T18:41:26.534Z","-7.94239445","-34.915414150000004","61.478667316612814","7.4975000000000005","7.515","3","138"
"172867.13888888905","2019-01-12T18:41:26.650Z","-7.9423884000000005","-34.91540965","61.44966731661282","7.5015","7.529999999999999","3","138"
"172900","2019-01-12T18:41:26.684Z","-7.942386727272726","-34.91540818181818","61.4443491347947","7.4870909090908055","7.472727272727181","3","138"
"173033.97222222242","2019-01-12T18:41:26.824Z","-7.9423794999999995","-34.9154024","61.397167316612816","7.5385","7.545","3","138"
"173145.19444444455","2019-01-12T18:41:26.940Z","-7.94237215","-34.9153962","61.348167316612816","7.599","7.59","3","138"
"173266.84375","2019-01-12T18:41:27.057Z","-7.942365049999999","-34.9153898","61.29816731661282","7.512499999999999","7.605","3","138"
"173300","2019-01-12T18:41:27.088Z","-7.9423606280719286","-34.91538581608391","61.23155692700243","7.6886433566433565","7.4520979020979015","3","138"
"173454.53125","2019-01-12T18:41:27.232Z","-7.9423547","-34.9153788","61.24316731661281","7.4990000000000006","7.535","3","138"
"173500","2019-01-12T18:41:27.274Z","-7.942352878421578","-34.91537677432568","61.23349798594349","7.474792207792207","7.547732267732267","3","138"
"173642.21875","2019-01-12T18:41:27.408Z","-7.9423476","-34.915369600000005","61.18016731661282","7.573","7.555","3","138"
"173767.34375","2019-01-12T18:41:27.524Z","-7.9423432","-34.91536345","61.15866731661282","7.436","7.49","3","138"
"173800","2019-01-12T18:41:27.554Z","-7.942342056043956","-34.91536182747252","61.0918816023271","7.439681318681318","7.519560439560439","3","138"
"173955.03125","2019-01-12T18:41:27.700Z","-7.94233715","-34.915353550000006","61.06416731661282","7.577500000000001","7.495","3","138"
"174000","2019-01-12T18:41:27.742Z","-7.942335528071928","-34.91535116863136","61.08316631761182","7.658006993006993","7.51938061938062","3","138"
"174142.71875","2019-01-12T18:41:27.875Z","-7.94233175","-34.9153426","60.99766731661282","7.997","7.95","3","138"
"174257.4166666667","2019-01-12T18:41:27.992Z","-7.942329","-34.915335400000004","60.95416731661281","7.664","7.845000000000001","3","138"
"174368.63888888893","2019-01-12T18:41:28.108Z","-7.94232635","-34.91532635","60.935667316612815","7.548","7.605","3","138"
"174400","2019-01-12T18:41:28.140Z","-7.942325061638361","-34.91532243786214","60.933226257671805","7.647147852147672","7.2104595404592375","3","138"
"174535.4722222223","2019-01-12T18:41:28.282Z","-7.9423236500000005","-34.915312400000005","60.833167316612816","8.0805","7.925","3","138"
"174646.69444444455","2019-01-12T18:41:28.398Z","-7.9423223499999995","-34.9153041","60.79916731661282","8.284","8.195","3","138"
"174757.9166666668","2019-01-12T18:41:28.514Z","-7.9423212","-34.91529565","60.745167316612815","8.463999999999999","8.36","3","138"
"174869.13888888905","2019-01-12T18:41:28.630Z","-7.94232025","-34.915286699999996","60.70466731661282","8.814499999999999","8.64","3","138"
"174900","2019-01-12T18:41:28.662Z","-7.942320194505495","-34.915284136263736","60.74058489903054","8.960648351647707","8.703186813186084","3","138"
"175035.97222222242","2019-01-12T18:41:28.804Z","-7.9423201","-34.9152724","60.64616731661282","9.39","9.275","3","138"
"175147.19444444455","2019-01-12T18:41:28.920Z","-7.9423206","-34.915262850000005","60.633667316612815","9.4585","9.41","3","138"
"175263.32352941175","2019-01-12T18:41:29.037Z","-7.94232105","-34.9152531","60.55666731661282","9.631","9.59","3","138"
"175300","2019-01-12T18:41:29.073Z","-7.942321761438563","-34.915245510189806","60.54846401990952","9.506368631368632","9.70771228771228","3","138"
"175439.9705882353","2019-01-12T18:41:29.211Z","-7.942323","-34.9152341","60.495167316612815","9.5195","9.52","3","138"
"175557.73529411765","2019-01-12T18:41:29.328Z","-7.94232475","-34.91522445","60.46566731661282","9.658","9.57","3","138"
"175600","2019-01-12T18:41:29.368Z","-7.942325283116884","-34.91522108931069","60.458900583346086","9.599405594405647","9.64960039960042","3","138"
"175734.38235294115","2019-01-12T18:41:29.503Z","-7.9423282","-34.91520955","60.42366731661282","10.0665","9.940000000000001","3","138"
"175852.1470588235","2019-01-12T18:41:29.619Z","-7.9423312","-34.9151997","60.40616731661282","10.2395","10.105","3","138"
"175969.91176470584","2019-01-12T18:41:29.736Z","-7.942334300000001","-34.9151894","60.36116731661282","10.471","10.43","3","138"
"176000","2019-01-12T18:41:29.765Z","-7.942335121978021","-34.91518684505495","60.411947536393036","10.404241758241804","10.360879120879153","3","138"
"176146.5588235294","2019-01-12T18:41:29.910Z","-7.94234015","-34.915174300000004","60.37316731661282","10.744499999999999","10.575","3","139"
"176264.32352941175","2019-01-12T18:41:30.027Z","-7.94234425","-34.915164000000004","60.36166731661282","10.956","10.879999999999999","3","139"
"176300","2019-01-12T18:41:30.062Z","-7.942347464735265","-34.91515593876123","60.372955528401036","10.884072927072939","10.984235764235766","3","139"
"176440.9705882353","2019-01-12T18:41:30.201Z","-7.942353450000001","-34.9151432","60.35216731661282","11.37","11.16","3","139"
"176558.73529411765","2019-01-12T18:41:30.318Z","-7.9423584","-34.9151328","60.33566731661281","11.434000000000001","11.49","3","139"
"176600","2019-01-12T18:41:30.357Z","-7.9423603019980025","-34.91512921608392","60.280396087841595","11.452671328671295","11.401968031968023","3","139"
